Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1e1JKLEDKP7hEQzJfNAgPl,"Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,80,true,,2021-03-01T16:55:04Z,"rage rap","AWGE Label",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
spotify:track:4CzhtKifG867Lu5DNQVBSA,"Vamp Anthem","Whole Lotta Red","Playboi Carti",2020-12-25,124093,71,true,,2021-03-01T16:54:43Z,"rage rap","AWGE/Interscope Records",0.642,0.69,11,-5.101,1,0.261,0.00599,0.0000013,0.322,0.641,164.075,4
spotify:track:15JRvf02KKGHKgC31jrpuh,"Meh","Whole Lotta Red","Playboi Carti",2020-12-25,118500,65,true,,2021-03-01T16:54:40Z,"rage rap","AWGE/Interscope Records",0.764,0.512,1,-6.814,1,0.3,0.00158,0,0.0899,0.586,81.541,4
spotify:track:0cgD36xPIJBdKUNJRHYDgP,"JumpOutTheHouse","Whole Lotta Red","Playboi Carti",2020-12-25,93385,61,true,,2021-03-01T16:54:29Z,"rage rap","AWGE/Interscope Records",0.87,0.461,1,-5.786,1,0.201,0.00456,0,0.11,0.485,144.053,4
spotify:track:3cWmqvMwVQKDigWLSZ3w9h,"Rockstar Made","Whole Lotta Red","Playboi Carti",2020-12-25,193574,68,true,,2021-03-01T16:54:18Z,"rage rap","AWGE/Interscope Records",0.773,0.612,8,-5.73,1,0.232,0.0398,0,0.142,0.381,149.999,4
spotify:track:7zLMYtNJcabv4h4wBnjNQI,"M3tamorphosis (feat. Kid Cudi)","Whole Lotta Red","Playboi Carti;Kid Cudi",2020-12-25,312256,61,true,,2021-03-01T16:54:14Z,"rage rap","AWGE/Interscope Records",0.657,0.604,0,-6.045,1,0.0374,0.0213,0,0.156,0.122,73.933,4
spotify:track:1eMNW1HQjF1dbb4GtnmpaX,"Slay3r","Whole Lotta Red","Playboi Carti",2020-12-25,164590,63,true,,2021-03-01T16:54:13Z,"rage rap","AWGE/Interscope Records",0.885,0.661,4,-5.062,0,0.141,0.165,0,0.334,0.436,140.028,4
spotify:track:7kFMvM2gUzVeW2ZlkKRhzu,"Showin Off Pt.1 (feat. Fivio Foreign)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke;Fivio Foreign",2020-07-20,96040,6,true,,2021-01-30T15:04:57Z,"brooklyn drill,new york drill,drill,uk drill","Victor Victor Worldwide",0.877,0.655,2,-5.823,1,0.418,0.145,0,0.16,0.535,139.883,4
spotify:track:5Nq6lLSxphlsA6nQB0KtES,"NO. 9","Playboi Carti","Playboi Carti",2017-04-14,199190,67,true,,2021-01-30T12:22:41Z,"rage rap","AWGE Label",0.885,0.607,1,-7.642,0,0.385,0.00973,0,0.325,0.391,137.887,4
spotify:track:0F13K9dwYH2zpTWiR8d628,"Go2DaMoon (feat. Kanye West)","Whole Lotta Red","Playboi Carti;Kanye West",2020-12-25,119737,63,true,,2021-01-30T12:18:35Z,"rage rap,rap","AWGE/Interscope Records",0.693,0.434,4,-8.786,0,0.385,0.204,0,0.277,0.542,147.066,4
